test_4acc,test_b4acc,test_8acc,test_b8acc,test_32acc,test_b32acc
0.1836,0.2219,0.1823,0.2201,0.1824,0.2191
0.1509,0.5619,0.1655,0.4606,0.1656,0.4597
0.1581,0.2522,0.1676,0.2701,0.1674,0.2715
0.1478,0.3107,0.1588,0.287,0.159,0.2923
0.1103,0.571,0.1088,0.4812,0.1098,0.4798
0.1059,0.2882,0.1064,0.2416,0.1067,0.2374
0.1011,0.0248,0.1015,0.0177,0.1007,0.018
0.1004,0.0001,0.1,0.0003,0.1,0.0004
0.1008,0.0,0.1022,0.0003,0.1022,0.0002
0.1003,0.004,0.1005,0.0038,0.1005,0.0038
0.1,0.0526,0.1002,0.0262,0.1004,0.0262
0.1007,0.0022,0.0999,0.0001,0.0999,0.0001
0.1,0.0,0.1,0.0,0.1,0.0
