test_8acc,test_b8acc,test_4acc,test_b4acc,test_32acc,test_b32acc
0.1695,0.0,0.1677,0.0,0.1694,0.0
0.1925,0.0,0.1878,0.0,0.1925,0.0
0.2042,0.0,0.2077,0.0,0.2043,0.0
0.2049,0.0,0.2057,0.0,0.2055,0.0
0.2207,0.0,0.2131,0.0,0.2208,0.0
0.228,0.0007,0.2175,0.0,0.2297,0.0007
0.2264,0.0,0.2054,0.0,0.2266,0.0
0.2522,0.0,0.2338,0.0006,0.2522,0.0
0.2526,0.0003,0.2271,0.0006,0.2528,0.0003
0.2658,0.009,0.2454,0.0066,0.2656,0.0092
0.2842,0.0374,0.2761,0.0368,0.2837,0.0381
0.3198,0.0617,0.3062,0.0419,0.3195,0.0613
0.3286,0.0257,0.2754,0.0127,0.3261,0.0261
0.3354,0.0166,0.2913,0.0275,0.3355,0.0167
0.3399,0.0253,0.2954,0.0573,0.3408,0.0235
0.3365,0.0202,0.2895,0.0137,0.3378,0.0199
0.3453,0.0226,0.3105,0.0123,0.3441,0.0232
0.341,0.0238,0.297,0.0063,0.3408,0.0246
0.3434,0.0347,0.3045,0.0126,0.342,0.0354
0.3344,0.0284,0.2871,0.0147,0.333,0.0291
0.3307,0.0282,0.2951,0.0126,0.3314,0.0283
0.3428,0.0403,0.2976,0.0178,0.3448,0.041
0.354,0.0576,0.3015,0.0285,0.3536,0.0575
0.3698,0.0723,0.3119,0.0393,0.3691,0.072
0.3723,0.0785,0.3245,0.0587,0.3725,0.0776
0.382,0.0817,0.3387,0.0789,0.3803,0.082
0.3873,0.0922,0.3234,0.0523,0.3869,0.0943
0.4002,0.096,0.3432,0.088,0.4012,0.0965
0.4017,0.0944,0.3475,0.0867,0.4023,0.0958
0.4009,0.0956,0.3439,0.0945,0.4013,0.0949
0.4087,0.1008,0.3447,0.0974,0.408,0.1006
0.4098,0.1059,0.3527,0.0871,0.4118,0.1067
0.4264,0.0969,0.3728,0.1027,0.4261,0.0978
0.432,0.0993,0.3933,0.1171,0.4306,0.0991
0.4295,0.1014,0.3861,0.1117,0.4307,0.1018
0.4318,0.096,0.3775,0.1187,0.4311,0.0962
0.4327,0.0987,0.3735,0.1236,0.4328,0.1002
0.4362,0.0999,0.3786,0.1295,0.4341,0.1
0.4368,0.0998,0.3783,0.1352,0.4358,0.0989
0.4381,0.0993,0.3754,0.1304,0.4402,0.0991
0.4409,0.1005,0.3785,0.1276,0.4407,0.101
0.4408,0.0992,0.3776,0.1451,0.4413,0.0987
0.4436,0.1024,0.3781,0.1326,0.4429,0.0999
0.4434,0.1037,0.3802,0.1321,0.4434,0.1025
0.4391,0.0963,0.3733,0.1064,0.4439,0.1021
0.4497,0.1046,0.3972,0.1245,0.4522,0.1028
0.4516,0.1048,0.3804,0.1046,0.4513,0.1045
0.4415,0.1067,0.3753,0.1161,0.4446,0.1053
0.4458,0.107,0.3827,0.1074,0.4426,0.106
0.4462,0.098,0.3785,0.1357,0.4457,0.105
0.4464,0.1027,0.3786,0.1465,0.4471,0.1044
0.4518,0.1061,0.3887,0.1199,0.4556,0.1109
0.4473,0.1044,0.3859,0.1222,0.4522,0.1089
0.4446,0.1076,0.3539,0.1289,0.4457,0.1037
0.4289,0.1155,0.3287,0.1095,0.4301,0.1096
0.4205,0.1175,0.3052,0.1024,0.4204,0.1208
0.4236,0.1126,0.2937,0.1062,0.4253,0.1161
0.4242,0.1154,0.3027,0.1209,0.4249,0.1109
0.4242,0.1024,0.3069,0.1118,0.4251,0.1045
0.4204,0.1031,0.3087,0.1145,0.4208,0.1026
0.4223,0.1055,0.3204,0.1359,0.4225,0.1065
0.4328,0.1162,0.3352,0.1596,0.4335,0.1107
0.434,0.1049,0.3427,0.1365,0.4351,0.1063
0.4427,0.1012,0.3702,0.1192,0.4412,0.1037
0.454,0.0985,0.3888,0.0927,0.4542,0.1005
0.4503,0.1061,0.3782,0.0796,0.451,0.1037
0.4497,0.1012,0.3741,0.1003,0.4518,0.1052
0.45,0.1056,0.3714,0.1101,0.4526,0.1078
0.4488,0.1115,0.3764,0.1081,0.4491,0.108
0.445,0.1086,0.36,0.1607,0.4459,0.1094
0.4522,0.1074,0.3746,0.1698,0.4522,0.1063
0.4402,0.0995,0.3772,0.1522,0.4439,0.1024
0.4342,0.1032,0.3394,0.1285,0.4352,0.1004
0.439,0.1001,0.3586,0.1374,0.4407,0.1043
0.4548,0.1018,0.371,0.1488,0.4523,0.1051
0.4483,0.1056,0.3533,0.138,0.4477,0.1062
0.4486,0.109,0.3481,0.1474,0.4506,0.1081
0.4546,0.1094,0.3762,0.127,0.4532,0.1104
0.4599,0.1076,0.3798,0.1203,0.4619,0.1045
0.4605,0.1074,0.382,0.1196,0.4599,0.1065
0.4568,0.1039,0.379,0.1349,0.4578,0.1061
0.4498,0.1083,0.3793,0.1216,0.4507,0.1081
0.4465,0.11,0.3751,0.1391,0.4449,0.1108
0.4487,0.1109,0.3817,0.1833,0.4521,0.1099
0.4536,0.1046,0.3837,0.1497,0.4551,0.1082
0.4562,0.1071,0.3842,0.1529,0.4571,0.1097
0.464,0.1092,0.3941,0.1457,0.4651,0.1074
0.468,0.1076,0.3978,0.1542,0.4694,0.1096
0.4682,0.1083,0.3945,0.1455,0.4674,0.1072
0.4665,0.097,0.3954,0.131,0.4669,0.1016
0.4694,0.1039,0.4022,0.1137,0.4696,0.1021
0.4699,0.1025,0.3988,0.109,0.4705,0.1003
0.4703,0.1022,0.4012,0.121,0.4706,0.1027
0.4752,0.1052,0.3981,0.1172,0.4728,0.1045
0.4672,0.1001,0.3913,0.0942,0.4696,0.104
0.4597,0.1022,0.3796,0.0612,0.4619,0.1042
0.469,0.107,0.3965,0.0741,0.4694,0.1056
0.4715,0.1043,0.3991,0.0763,0.4718,0.1078
0.4728,0.1011,0.3934,0.0614,0.472,0.1021
0.4752,0.1052,0.3926,0.0632,0.4739,0.1038
0.4659,0.1023,0.341,0.0607,0.469,0.1063
0.4611,0.0999,0.36,0.0696,0.4586,0.1003
0.463,0.0955,0.355,0.0725,0.4612,0.0969
0.4528,0.0938,0.3481,0.0653,0.4533,0.0965
0.4628,0.0976,0.3546,0.0705,0.4638,0.0994
0.4709,0.0954,0.3618,0.0739,0.4744,0.0974
0.4734,0.0917,0.3741,0.0867,0.4774,0.0946
0.4802,0.0962,0.3843,0.0751,0.4804,0.0983
0.4804,0.0942,0.3885,0.0737,0.4845,0.0967
0.4847,0.0969,0.3906,0.0746,0.486,0.0958
0.4836,0.0968,0.3809,0.0708,0.4854,0.095
0.483,0.099,0.3908,0.0757,0.4855,0.0961
0.4817,0.1004,0.388,0.0989,0.4832,0.0969
0.483,0.0999,0.3948,0.1087,0.4859,0.0994
0.4826,0.0985,0.3871,0.099,0.4819,0.098
0.4852,0.1011,0.3771,0.0575,0.4857,0.0982
0.4786,0.0989,0.378,0.0589,0.4842,0.1009
0.4869,0.0981,0.388,0.0635,0.4874,0.0991
0.4908,0.0962,0.3939,0.063,0.4927,0.099
0.4923,0.1001,0.4026,0.0654,0.4932,0.1001
0.4957,0.0984,0.3987,0.0626,0.4945,0.0999
0.498,0.1021,0.4014,0.0668,0.4985,0.0954
0.5035,0.1054,0.415,0.0802,0.5022,0.0978
0.5059,0.1045,0.3988,0.0845,0.5054,0.0984
0.5104,0.1049,0.4153,0.078,0.5105,0.1007
0.5085,0.1071,0.4215,0.0825,0.5121,0.1047
0.5092,0.1037,0.4132,0.0785,0.5132,0.1052
0.5109,0.1073,0.4052,0.085,0.5125,0.1054
0.5107,0.1069,0.4198,0.0727,0.5091,0.1019
0.5082,0.1016,0.4113,0.0897,0.5101,0.1031
0.5108,0.1077,0.4229,0.0856,0.5094,0.1045
0.5133,0.1008,0.4267,0.0786,0.5121,0.1034
0.5168,0.102,0.4213,0.0585,0.515,0.1053
0.5129,0.103,0.4222,0.0541,0.5155,0.1034
0.5158,0.0958,0.4262,0.0588,0.5195,0.0991
0.5182,0.0951,0.4259,0.0416,0.5197,0.0974
0.5216,0.101,0.4286,0.0552,0.5227,0.0995
0.5247,0.102,0.4309,0.0657,0.5255,0.1054
0.5256,0.0983,0.4336,0.0726,0.5242,0.1038
0.5245,0.1017,0.4377,0.0857,0.5264,0.1036
0.5273,0.1092,0.4292,0.0829,0.5265,0.1082
0.5312,0.1127,0.4206,0.074,0.5293,0.1135
0.528,0.1223,0.4237,0.0889,0.531,0.1194
0.5309,0.1201,0.4243,0.0723,0.5309,0.1183
0.5335,0.1179,0.4315,0.0848,0.531,0.1183
0.5322,0.1171,0.4238,0.0877,0.5317,0.1179
0.533,0.1193,0.4305,0.0946,0.5328,0.1195
0.533,0.118,0.4027,0.0803,0.5343,0.1185
0.5364,0.1131,0.4303,0.0963,0.5346,0.1137
0.5335,0.114,0.4309,0.0794,0.5377,0.1162
0.5395,0.1192,0.4484,0.1005,0.5414,0.1179
0.542,0.1215,0.4522,0.0684,0.5424,0.1177
0.5413,0.1206,0.4589,0.0689,0.5413,0.1153
0.5438,0.1091,0.4546,0.0952,0.5439,0.109
0.5462,0.1067,0.4659,0.0919,0.5471,0.1088
0.5464,0.1138,0.4694,0.0783,0.5479,0.1115
0.5504,0.1138,0.4557,0.0837,0.552,0.1124
0.5494,0.1095,0.469,0.0817,0.5511,0.1144
0.5492,0.1115,0.458,0.0792,0.5497,0.1115
0.5533,0.1126,0.4701,0.0831,0.5536,0.11
0.5542,0.1086,0.4709,0.0895,0.5556,0.1082
0.5536,0.1097,0.4684,0.0883,0.5531,0.1109
0.5555,0.1112,0.4724,0.1041,0.5588,0.1102
0.5579,0.1105,0.4836,0.0993,0.5586,0.1122
0.5563,0.1128,0.484,0.095,0.5572,0.111
