test_8acc,test_b8acc,test_4acc,test_b4acc,test_32acc,test_b32acc
0.1248,0.0,0.1255,0.0,0.1244,0.0
0.2093,0.0172,0.2076,0.018,0.21,0.0177
0.2669,0.2714,0.2636,0.2611,0.2666,0.2694
0.3176,0.1732,0.3067,0.1712,0.3179,0.174
0.3245,0.1003,0.3264,0.1057,0.3251,0.1002
0.327,0.1605,0.3236,0.1544,0.3265,0.1596
0.3213,0.1262,0.3153,0.1234,0.3221,0.126
0.3341,0.0992,0.3253,0.1088,0.334,0.0999
0.3527,0.0988,0.3282,0.1655,0.3524,0.0986
0.3843,0.0927,0.3764,0.1124,0.3825,0.0939
0.3862,0.1008,0.3711,0.1172,0.3866,0.1029
0.4004,0.1031,0.3858,0.1195,0.4007,0.1042
0.404,0.113,0.3807,0.1497,0.4043,0.1113
0.4058,0.1066,0.3845,0.1243,0.407,0.1065
0.4109,0.1077,0.3838,0.1053,0.4118,0.1068
0.4039,0.1103,0.3547,0.0982,0.4012,0.1095
0.4121,0.1097,0.3818,0.1137,0.4132,0.1107
0.4368,0.1102,0.4024,0.0961,0.4383,0.11
0.4495,0.1066,0.4205,0.1051,0.4481,0.1077
0.4588,0.0951,0.422,0.1012,0.4596,0.096
0.4551,0.0875,0.4288,0.0961,0.4563,0.0883
0.4654,0.0945,0.4405,0.1001,0.466,0.095
0.4683,0.088,0.4455,0.0922,0.4703,0.0881
0.4734,0.0838,0.4444,0.0908,0.4742,0.0839
0.4755,0.0855,0.4394,0.0857,0.4773,0.0843
0.4791,0.0864,0.4367,0.0936,0.4786,0.0864
0.4855,0.0882,0.435,0.0906,0.4846,0.0881
0.4832,0.0874,0.4413,0.0873,0.4857,0.0884
0.4816,0.0832,0.4238,0.0972,0.4801,0.0818
0.4781,0.0796,0.418,0.0818,0.4787,0.0799
0.4645,0.0759,0.3925,0.0932,0.4628,0.0766
0.4659,0.0792,0.3959,0.0997,0.4664,0.0792
0.4806,0.0777,0.4069,0.1015,0.4815,0.0789
0.4972,0.0815,0.4266,0.0886,0.4968,0.0824
0.507,0.0864,0.4296,0.0966,0.5071,0.0857
0.5069,0.0872,0.4364,0.0958,0.5082,0.0826
0.5166,0.0885,0.4404,0.0792,0.5184,0.09
0.5183,0.0891,0.4555,0.124,0.5207,0.0892
0.5207,0.0867,0.4567,0.0786,0.5205,0.0847
0.5223,0.0804,0.4564,0.0723,0.5218,0.0814
0.528,0.086,0.4546,0.0819,0.5294,0.0857
0.5315,0.0845,0.462,0.0941,0.5341,0.0829
0.5302,0.0797,0.4562,0.0801,0.531,0.0788
0.527,0.0748,0.4331,0.0777,0.53,0.0747
0.5196,0.0749,0.4158,0.0542,0.5177,0.0714
0.5121,0.0689,0.4148,0.0505,0.5121,0.0704
0.4987,0.068,0.3859,0.0558,0.498,0.0654
0.4943,0.0631,0.3554,0.0671,0.4911,0.0613
0.4924,0.0653,0.3235,0.0561,0.489,0.0591
0.4668,0.0521,0.3349,0.055,0.4724,0.0533
0.4531,0.0548,0.3398,0.0488,0.4502,0.0527
0.4434,0.0633,0.3136,0.0446,0.4457,0.0608
0.4456,0.054,0.3047,0.0323,0.4487,0.0562
0.4609,0.0626,0.3371,0.0507,0.4576,0.0531
0.4637,0.0552,0.358,0.0517,0.4642,0.0524
0.4773,0.0524,0.3723,0.0779,0.4808,0.0547
0.5041,0.0593,0.4097,0.0654,0.5041,0.0578
0.5138,0.0689,0.4338,0.0683,0.5155,0.0677
0.5257,0.077,0.4399,0.085,0.5261,0.0738
0.527,0.0739,0.4366,0.0809,0.5273,0.0755
0.528,0.0738,0.4201,0.0763,0.5276,0.0745
0.5119,0.0682,0.3938,0.0561,0.5125,0.0691
0.5117,0.0653,0.3875,0.0457,0.5113,0.0635
0.4972,0.061,0.3562,0.0901,0.4984,0.0638
0.4951,0.0689,0.3702,0.0838,0.5011,0.0648
0.4784,0.0723,0.3569,0.1139,0.4795,0.0696
0.4716,0.0646,0.3584,0.0826,0.4728,0.0647
0.4711,0.066,0.3726,0.0562,0.4728,0.0641
0.4902,0.0619,0.3936,0.0557,0.4917,0.0636
0.5001,0.0547,0.3941,0.0668,0.4993,0.0531
0.5078,0.0564,0.4061,0.0766,0.5132,0.0587
0.5129,0.0524,0.4128,0.0712,0.5157,0.0536
0.5135,0.0518,0.3907,0.0518,0.5094,0.0541
0.4907,0.0497,0.3773,0.0517,0.4896,0.047
0.4826,0.0576,0.3656,0.0702,0.4839,0.0598
0.4855,0.0713,0.3809,0.0817,0.4846,0.0742
0.4837,0.0843,0.3855,0.0821,0.4848,0.0839
0.4857,0.0896,0.3772,0.0641,0.4831,0.0877
0.4849,0.0771,0.3936,0.063,0.4873,0.0788
0.4971,0.0829,0.3976,0.0584,0.4942,0.0777
0.4972,0.0762,0.3988,0.0586,0.4968,0.0772
0.4985,0.0713,0.3998,0.0756,0.4999,0.0775
0.5,0.0739,0.3991,0.0632,0.502,0.0767
0.5018,0.0832,0.3898,0.0579,0.5043,0.0785
0.5044,0.0809,0.3985,0.0521,0.5074,0.08
0.5144,0.0813,0.4025,0.06,0.5147,0.0857
0.5194,0.0897,0.4148,0.0756,0.5205,0.0907
0.5284,0.0922,0.4302,0.0656,0.5275,0.094
0.5362,0.0932,0.4386,0.0651,0.5384,0.0896
0.5444,0.084,0.4517,0.0722,0.5444,0.0837
0.5491,0.0848,0.4585,0.0746,0.551,0.0818
0.5558,0.0884,0.4573,0.0785,0.556,0.0837
0.5583,0.0861,0.4634,0.1039,0.5625,0.0828
0.5672,0.0812,0.4724,0.0898,0.5674,0.0818
0.5666,0.0774,0.4709,0.0827,0.5701,0.0794
0.572,0.0748,0.4868,0.0866,0.5708,0.075
0.5713,0.0737,0.489,0.0758,0.5729,0.0747
0.5755,0.0731,0.4877,0.077,0.575,0.0734
0.5749,0.0692,0.4779,0.0783,0.5778,0.0718
0.5781,0.0715,0.4816,0.084,0.5796,0.0702
0.5814,0.0728,0.5054,0.0762,0.5823,0.0705
0.5837,0.0753,0.5036,0.0852,0.5847,0.0738
0.589,0.0753,0.5094,0.0859,0.5889,0.0762
0.5897,0.0762,0.5129,0.0735,0.5904,0.0779
0.5954,0.0798,0.5211,0.0755,0.5947,0.0787
0.5973,0.0785,0.5156,0.0765,0.5979,0.0797
0.6007,0.0787,0.5233,0.0873,0.6012,0.0778
0.6022,0.0791,0.5116,0.0799,0.6019,0.0773
0.6016,0.0762,0.5269,0.0736,0.6033,0.078
0.6039,0.0822,0.529,0.074,0.6039,0.079
0.6038,0.0792,0.5261,0.0755,0.6052,0.078
0.6052,0.0771,0.533,0.0818,0.6039,0.0776
0.6076,0.0778,0.5459,0.0906,0.607,0.0792
0.6098,0.0796,0.5504,0.0898,0.6087,0.0805
0.6101,0.0815,0.5431,0.095,0.6097,0.0823
0.615,0.0839,0.5495,0.076,0.6137,0.0819
0.612,0.0843,0.5469,0.0724,0.6142,0.0826
0.6138,0.0782,0.5491,0.0662,0.6159,0.0788
0.6175,0.0792,0.5498,0.0748,0.619,0.0807
0.6173,0.0817,0.5567,0.0693,0.6188,0.082
0.6193,0.0782,0.5606,0.0697,0.6198,0.0798
0.6195,0.077,0.5577,0.071,0.6208,0.0761
0.6218,0.0781,0.5656,0.0677,0.6232,0.0785
0.6241,0.0807,0.5644,0.0647,0.6242,0.0803
0.6261,0.0792,0.5643,0.0648,0.6255,0.0805
0.6273,0.0822,0.5724,0.0725,0.6277,0.082
0.6292,0.0827,0.5623,0.071,0.6303,0.0807
0.6269,0.0842,0.5612,0.0766,0.629,0.0819
0.6285,0.0806,0.5667,0.0735,0.629,0.0794
0.6264,0.0817,0.5574,0.0639,0.6262,0.081
0.6281,0.0783,0.563,0.0729,0.6297,0.0811
0.6317,0.0804,0.5678,0.0705,0.6309,0.0804
0.6307,0.0841,0.5737,0.0766,0.632,0.0823
0.6328,0.0787,0.5765,0.0706,0.6355,0.0806
0.6328,0.0819,0.5744,0.0717,0.6351,0.081
0.6333,0.0795,0.576,0.0672,0.6352,0.0791
0.634,0.0772,0.5701,0.0768,0.6339,0.0794
0.6341,0.0821,0.5745,0.0802,0.6344,0.0813
0.6353,0.0838,0.5732,0.0828,0.634,0.0823
0.6354,0.0807,0.5768,0.0741,0.6357,0.0812
0.6355,0.0772,0.5844,0.0758,0.6367,0.0773
0.637,0.0778,0.5792,0.0747,0.6378,0.0783
0.6388,0.08,0.5737,0.0836,0.6382,0.0786
0.6393,0.0801,0.5874,0.0812,0.638,0.0788
0.6392,0.08,0.5858,0.0815,0.6373,0.0813
0.6403,0.0813,0.5849,0.0756,0.6393,0.0816
0.6389,0.0794,0.5751,0.0706,0.6392,0.0789
0.64,0.0815,0.5794,0.0724,0.6391,0.0777
