test_4acc,test_b4acc,test_8acc,test_b8acc,test_32acc,test_b32acc
0.2448,0.0592,0.2398,0.0539,0.2395,0.0542
0.3299,0.0675,0.3297,0.07,0.33,0.07
0.3631,0.0619,0.3677,0.0577,0.3675,0.0576
0.4001,0.0652,0.405,0.0619,0.4045,0.0619
0.4315,0.072,0.4369,0.0729,0.4373,0.0723
0.4593,0.0738,0.4677,0.0763,0.4692,0.0763
0.4879,0.0822,0.4952,0.0864,0.495,0.0865
0.5083,0.0885,0.5169,0.0912,0.5176,0.0907
0.5233,0.0838,0.5266,0.0875,0.5263,0.0878
0.5377,0.0819,0.5393,0.0848,0.5385,0.084
0.5406,0.0802,0.5491,0.0828,0.5481,0.083
0.5517,0.0842,0.5604,0.0844,0.5601,0.0841
0.5599,0.0852,0.5694,0.0816,0.5704,0.0809
0.5671,0.0845,0.5785,0.0813,0.5774,0.0811
0.5759,0.0831,0.5825,0.079,0.5845,0.0803
0.5824,0.0862,0.5903,0.0795,0.589,0.0796
0.5914,0.0896,0.598,0.08,0.5974,0.0808
0.5921,0.0878,0.6014,0.0808,0.6017,0.081
0.6015,0.0879,0.6093,0.0823,0.6103,0.0821
0.6049,0.0868,0.6139,0.0816,0.6147,0.0818
0.6069,0.0871,0.6181,0.0794,0.6187,0.08
0.6182,0.0874,0.6223,0.0823,0.6223,0.0827
0.6222,0.0854,0.6284,0.0823,0.628,0.0818
0.6229,0.0822,0.6309,0.0816,0.6322,0.0818
0.6268,0.0846,0.6361,0.0832,0.6368,0.0827
0.6307,0.0847,0.6417,0.0835,0.6423,0.0838
0.6362,0.0894,0.645,0.0864,0.6463,0.0866
0.6373,0.0865,0.6494,0.0843,0.6501,0.0845
0.6365,0.0859,0.6539,0.0843,0.654,0.0852
0.64,0.0871,0.6557,0.0872,0.6564,0.0878
0.6434,0.0867,0.66,0.0887,0.6599,0.0887
0.6454,0.0859,0.6642,0.0874,0.6651,0.0873
0.6447,0.0835,0.6669,0.0901,0.667,0.0904
0.6519,0.0833,0.6702,0.0896,0.6709,0.0895
0.6514,0.0846,0.6755,0.0918,0.6748,0.0921
0.6593,0.0849,0.6777,0.0897,0.6769,0.0902
0.6606,0.0884,0.6803,0.0929,0.68,0.0923
0.6671,0.0885,0.6825,0.0926,0.6837,0.0928
0.6683,0.0868,0.6836,0.0932,0.6847,0.0929
0.6666,0.0849,0.6861,0.0921,0.6858,0.0923
0.6703,0.087,0.6912,0.0898,0.6912,0.0899
0.6739,0.0874,0.6917,0.0902,0.6916,0.09
0.6768,0.0902,0.6949,0.0925,0.6957,0.0928
0.68,0.0875,0.6962,0.0919,0.6962,0.0923
0.6786,0.0865,0.697,0.0914,0.6963,0.0917
0.6793,0.0878,0.6997,0.0901,0.7003,0.0909
0.68,0.0863,0.7005,0.0906,0.7001,0.0902
0.6765,0.0869,0.7021,0.0876,0.7024,0.0882
0.6813,0.0871,0.7023,0.0886,0.7034,0.0891
0.686,0.0896,0.7074,0.0915,0.707,0.0916
0.6839,0.0909,0.711,0.0905,0.7103,0.0909
0.6884,0.0922,0.71,0.0928,0.7094,0.0929
0.6888,0.0908,0.7131,0.0927,0.7127,0.0931
0.6856,0.089,0.7148,0.0917,0.715,0.0919
0.6852,0.0909,0.7176,0.0916,0.718,0.0913
0.6889,0.0942,0.7182,0.0937,0.7183,0.0935
0.6913,0.0971,0.7219,0.0944,0.7218,0.0943
0.6927,0.0944,0.7213,0.094,0.7215,0.0941
0.6948,0.0946,0.723,0.0921,0.7221,0.0926
0.6963,0.0945,0.7229,0.0936,0.7237,0.0938
0.6994,0.0961,0.7265,0.0952,0.7255,0.095
0.7011,0.0974,0.7269,0.0954,0.7273,0.0957
0.6979,0.0968,0.7273,0.0947,0.7262,0.0945
