0.7824,0.7797,0.3241,0.1877,0.1856,0.2867
0.7856,0.782,0.321,0.2225,0.2258,0.3384
0.7814,0.7787,0.3177,0.3377,0.3415,0.4422
0.7913,0.7897,0.3395,0.2887,0.2968,0.3512
0.79,0.79,0.3543,0.3321,0.3322,0.3737
0.7864,0.7858,0.3517,0.4025,0.4083,0.4387
0.7888,0.7856,0.3553,0.4349,0.4338,0.4603
0.7938,0.7919,0.3683,0.3758,0.3825,0.3986
0.7957,0.7944,0.3736,0.3358,0.3399,0.361
0.7934,0.7941,0.3769,0.4174,0.4258,0.4257
0.7938,0.7929,0.3691,0.418,0.435,0.4369
0.7913,0.7894,0.3596,0.4538,0.4817,0.4587
0.7961,0.7919,0.3684,0.4321,0.456,0.4543
0.793,0.7898,0.3639,0.5437,0.5632,0.5168
0.7965,0.7954,0.3807,0.421,0.4277,0.4488
0.7952,0.7961,0.3696,0.428,0.4255,0.4381
0.7914,0.7886,0.3557,0.5633,0.5804,0.5184
0.7933,0.7934,0.361,0.5373,0.5473,0.4929
0.7908,0.7886,0.3557,0.6162,0.6156,0.552
0.7943,0.7932,0.3674,0.5135,0.5243,0.4785
0.7972,0.7965,0.3572,0.462,0.4788,0.4443
0.791,0.7901,0.3579,0.5754,0.5786,0.5602
0.7902,0.7881,0.3579,0.6061,0.6154,0.5749
0.7914,0.7928,0.3579,0.5962,0.6093,0.5732
0.7933,0.7945,0.3658,0.5506,0.5629,0.5562
0.7919,0.789,0.3553,0.6262,0.6368,0.6091
0.7914,0.7908,0.3543,0.641,0.6543,0.5781
0.7899,0.791,0.3569,0.687,0.7077,0.6464
0.7963,0.7946,0.3567,0.5826,0.5971,0.589
0.7921,0.7891,0.3552,0.6946,0.7071,0.6684
0.7954,0.7941,0.3553,0.65,0.656,0.6345
0.7924,0.7903,0.3448,0.7173,0.7273,0.6849
0.7938,0.7901,0.3421,0.7027,0.7084,0.6731
0.794,0.7907,0.3413,0.6831,0.7015,0.6885
0.7949,0.7925,0.3445,0.7007,0.7075,0.7281
0.7921,0.7874,0.3348,0.7283,0.7465,0.7369
0.7963,0.7945,0.3322,0.6069,0.629,0.6713
0.7942,0.7916,0.3408,0.6418,0.6861,0.6693
0.7955,0.7916,0.3286,0.6434,0.6708,0.7042
0.7958,0.7899,0.314,0.6309,0.6557,0.7153
0.7975,0.7964,0.3255,0.5937,0.6496,0.7195
0.7974,0.7965,0.3296,0.5289,0.5847,0.696
0.7942,0.7918,0.3241,0.6543,0.7475,0.7268
0.7969,0.7949,0.3291,0.6164,0.6571,0.7262
0.7968,0.7924,0.3221,0.627,0.7995,0.7351
0.7989,0.7946,0.3222,0.5747,0.684,0.7133
0.7977,0.7936,0.2999,0.5986,0.5997,0.7228
0.7984,0.796,0.3092,0.5711,0.5645,0.7107
0.7913,0.7908,0.2849,0.6267,0.5632,0.7062
0.7947,0.7958,0.2805,0.5693,0.6234,0.6938
0.7968,0.792,0.2799,0.523,0.8153,0.6942
0.7944,0.792,0.2713,0.5422,0.7986,0.7044
0.7973,0.7939,0.2812,0.569,0.8238,0.6646
0.7978,0.7928,0.2677,0.5703,0.8789,0.6348
0.7984,0.7938,0.2682,0.5735,0.8636,0.662
0.7977,0.7857,0.2438,0.5268,0.9628,0.5503
0.7975,0.7834,0.2384,0.5198,0.9667,0.5485
0.7982,0.7923,0.247,0.5816,0.9234,0.559
0.7992,0.7904,0.239,0.4702,0.952,0.4886
0.7979,0.7915,0.2406,0.4857,0.9401,0.535
0.7991,0.794,0.2481,0.5059,0.8747,0.652
0.7993,0.7888,0.2373,0.4378,0.9581,0.541
0.7968,0.7967,0.2531,0.4518,0.8816,0.6302
0.7964,0.7862,0.24,0.3959,0.969,0.5098
0.7989,0.7868,0.2432,0.3312,0.9637,0.5337
0.7953,0.7863,0.2263,0.2932,0.9762,0.4751
0.7977,0.7883,0.2365,0.3012,0.9581,0.5071
0.8003,0.7955,0.2444,0.3089,0.8861,0.5693
0.7996,0.7967,0.2506,0.3232,0.7728,0.6217
0.7965,0.7925,0.2422,0.2553,0.4788,0.617
0.7975,0.7971,0.2552,0.3227,0.2622,0.6474
0.7958,0.7967,0.2568,0.3403,0.2436,0.6593
0.8011,0.7991,0.2667,0.4479,0.2396,0.6576
0.8003,0.7991,0.2766,0.514,0.2149,0.6771
0.8,0.7982,0.2705,0.4808,0.2045,0.7632
0.7993,0.7996,0.2636,0.5835,0.2803,0.7337
0.7887,0.7869,0.2758,0.8051,0.6063,0.8654
0.7917,0.7898,0.2773,0.5671,0.5503,0.8523
0.7915,0.7923,0.2869,0.5263,0.5251,0.8066
0.7968,0.7952,0.2815,0.4427,0.4369,0.7966
0.7941,0.7939,0.2824,0.5307,0.5436,0.8148
0.797,0.7936,0.2819,0.4569,0.4494,0.7497
0.7993,0.7976,0.2969,0.4339,0.5194,0.7541
0.7991,0.7956,0.2941,0.4047,0.7711,0.7262
0.8004,0.7953,0.2773,0.4047,0.8508,0.7468
0.7974,0.7875,0.2721,0.4428,0.9728,0.7527
0.7963,0.791,0.2564,0.417,0.9592,0.7372
0.798,0.7896,0.2546,0.4194,0.8844,0.735
0.7992,0.7921,0.2613,0.4044,0.7008,0.7209
0.7978,0.7934,0.2658,0.3964,0.6866,0.7455
0.7981,0.7905,0.2578,0.4279,0.9143,0.7484
0.7976,0.789,0.254,0.4016,0.9238,0.7296
0.7993,0.7936,0.2646,0.3504,0.5688,0.7391
0.7964,0.791,0.2626,0.357,0.7667,0.7248
0.7957,0.7852,0.2523,0.378,0.9676,0.7335
0.7948,0.785,0.2423,0.3318,0.9762,0.6977
0.7955,0.7853,0.2386,0.3393,0.973,0.6553
0.7961,0.7865,0.2443,0.3021,0.9622,0.6347
0.7979,0.7911,0.2463,0.2972,0.6988,0.6822
0.7964,0.7943,0.2546,0.3077,0.5151,0.6985
