test_4acc,test_b4acc,test_8acc,test_b8acc,test_32acc,test_b32acc
0.3252,0.1649,0.7908,0.1017,0.793,0.103
0.3246,0.1618,0.7903,0.1031,0.7915,0.1038
0.3207,0.1632,0.788,0.1033,0.7914,0.105
0.3145,0.1634,0.7893,0.1046,0.7909,0.1055
0.3141,0.1626,0.788,0.1045,0.7908,0.1054
0.3163,0.152,0.7871,0.1046,0.7903,0.1057
0.3062,0.1537,0.7843,0.1052,0.7868,0.107
0.31,0.1534,0.7851,0.1055,0.7865,0.1073
0.3122,0.1547,0.7847,0.1055,0.7869,0.1071
0.3073,0.1547,0.7833,0.1066,0.7858,0.1077
0.3101,0.16,0.7843,0.1061,0.7855,0.1077
0.3072,0.1556,0.7834,0.1059,0.7835,0.1081
0.3146,0.1515,0.7828,0.1068,0.7839,0.1081
0.308,0.1662,0.7809,0.1067,0.7818,0.1091
0.3105,0.157,0.7834,0.1076,0.7846,0.1092
0.3048,0.1578,0.7844,0.1077,0.7858,0.1092
0.3096,0.1571,0.7812,0.1079,0.7826,0.1099
0.3064,0.1573,0.7821,0.1077,0.7827,0.1101
0.2966,0.1585,0.7789,0.1088,0.7779,0.1101
0.3,0.1567,0.7805,0.1085,0.78,0.1102
0.3021,0.161,0.7819,0.1093,0.7812,0.1101
0.3042,0.1564,0.7807,0.109,0.7795,0.1105
0.3003,0.1576,0.7791,0.1093,0.7791,0.1106
0.3019,0.1525,0.778,0.1085,0.7779,0.1102
0.2983,0.1532,0.7761,0.1092,0.7775,0.1096
0.2994,0.1542,0.7767,0.1094,0.7764,0.11
0.3034,0.1568,0.7764,0.1098,0.7764,0.1101
0.2978,0.1516,0.7738,0.1096,0.7754,0.1106
0.297,0.1521,0.7748,0.1095,0.7757,0.1104
0.294,0.1544,0.7717,0.1094,0.7738,0.1101
0.2929,0.1548,0.7739,0.1092,0.7742,0.1098
0.2947,0.1498,0.7729,0.1088,0.7747,0.1095
0.2898,0.1524,0.7692,0.1092,0.7738,0.1096
0.2943,0.1491,0.7734,0.1096,0.7742,0.1099
0.2936,0.1439,0.7695,0.109,0.7725,0.1091
0.2937,0.1463,0.7692,0.1089,0.7721,0.1092
