0.7934,0.7896,0.3879,0.1684,0.1689,0.3215
0.776,0.7766,0.4385,0.211,0.2104,0.4078
0.7501,0.7513,0.4785,0.2811,0.2859,0.5658
0.7434,0.7431,0.4984,0.3003,0.3001,0.5543
0.7323,0.7299,0.5167,0.3384,0.3429,0.6022
0.7301,0.7282,0.5314,0.3729,0.3762,0.6745
0.7209,0.7201,0.5316,0.407,0.4043,0.7579
0.7217,0.7216,0.5359,0.4267,0.4371,0.7871
0.7206,0.7187,0.527,0.4279,0.4399,0.8136
0.722,0.7212,0.5339,0.4457,0.4629,0.8445
0.7213,0.7236,0.5482,0.4314,0.4506,0.8602
0.7218,0.7206,0.5452,0.4393,0.4764,0.8891
0.7226,0.7221,0.5484,0.4264,0.4619,0.8942
0.7266,0.7257,0.5601,0.4196,0.465,0.9023
0.7266,0.7253,0.561,0.4031,0.4582,0.9061
0.7292,0.726,0.5647,0.3914,0.4502,0.9058
0.7272,0.7269,0.5677,0.3872,0.4412,0.92
0.7294,0.7263,0.5715,0.3733,0.4384,0.9332
0.7283,0.7317,0.5715,0.3588,0.4255,0.9286
0.7295,0.73,0.5812,0.3607,0.416,0.9364
0.727,0.7269,0.5791,0.3712,0.4224,0.945
0.7254,0.7243,0.5799,0.3678,0.4166,0.9512
0.7257,0.723,0.5793,0.3612,0.4017,0.9515
0.7211,0.7208,0.5851,0.3382,0.3815,0.948
0.7233,0.7228,0.5872,0.3325,0.367,0.9583
0.726,0.7263,0.5837,0.3238,0.3545,0.9608
0.7238,0.7233,0.5834,0.323,0.3571,0.9656
0.7241,0.7234,0.594,0.318,0.3605,0.9707
0.7242,0.7253,0.591,0.3165,0.3588,0.9708
0.7234,0.7222,0.5926,0.3149,0.3613,0.9741
0.7229,0.722,0.6006,0.297,0.3419,0.9722
0.7225,0.7215,0.5971,0.2891,0.3419,0.9752
0.7225,0.7173,0.607,0.2873,0.3577,0.9739
0.723,0.7184,0.6105,0.2895,0.3567,0.9777
0.7228,0.7204,0.6096,0.2764,0.358,0.9807
0.723,0.7208,0.6156,0.2666,0.3482,0.9792
0.7231,0.7207,0.6184,0.2632,0.3544,0.9782
0.7248,0.7213,0.6187,0.2617,0.3418,0.9802
0.7231,0.7215,0.6149,0.2585,0.3756,0.9803
0.723,0.7202,0.6159,0.2464,0.3729,0.9798
0.7201,0.719,0.6136,0.2543,0.3724,0.9841
0.7197,0.7176,0.621,0.2447,0.3704,0.9831
0.7223,0.7204,0.6151,0.2492,0.3753,0.9789
0.7181,0.7153,0.6197,0.229,0.416,0.9813
0.7188,0.7167,0.6214,0.2252,0.3996,0.9782
0.7135,0.7104,0.6211,0.2268,0.4289,0.9804
0.7207,0.7177,0.6241,0.2247,0.4125,0.9817
0.7166,0.7129,0.6174,0.2122,0.4031,0.9831
0.717,0.7132,0.6289,0.2212,0.4315,0.9837
0.7157,0.7124,0.6294,0.2253,0.486,0.9821
0.7179,0.7145,0.6338,0.2262,0.4443,0.9823
0.713,0.7132,0.6389,0.223,0.4594,0.9806
0.7164,0.712,0.638,0.2249,0.4955,0.9811
0.7175,0.7143,0.6342,0.2266,0.4669,0.9846
0.7176,0.7125,0.6458,0.2154,0.4838,0.983
0.717,0.7117,0.6368,0.218,0.5545,0.9841
0.7167,0.7116,0.6337,0.2349,0.5974,0.9864
0.7164,0.712,0.6328,0.244,0.6084,0.9861
0.7183,0.7134,0.6303,0.2406,0.6129,0.9873
0.7159,0.7128,0.6456,0.2236,0.6015,0.9834
0.7167,0.713,0.6429,0.2074,0.5522,0.9837
0.7167,0.713,0.6486,0.1937,0.5717,0.9829
0.7158,0.7124,0.6486,0.1909,0.5782,0.9822
0.7173,0.7137,0.6488,0.216,0.6747,0.9846
0.7148,0.7123,0.6472,0.2021,0.6992,0.9806
0.7166,0.7094,0.6457,0.1922,0.7154,0.9804
0.7146,0.7063,0.6509,0.19,0.7446,0.9794
0.7122,0.7073,0.6484,0.1916,0.7114,0.9828
0.7133,0.7087,0.6477,0.1976,0.7138,0.985
0.713,0.7092,0.6475,0.2091,0.7496,0.9838
0.7132,0.708,0.6443,0.2115,0.7588,0.9836
0.7151,0.7094,0.6508,0.2088,0.7837,0.9813
0.7146,0.7063,0.6468,0.1976,0.7786,0.9819
0.7141,0.7078,0.6496,0.2041,0.8103,0.9802
0.7144,0.7088,0.6461,0.1924,0.8213,0.9795
0.7133,0.7066,0.6489,0.1842,0.7935,0.9794
0.7142,0.7079,0.6451,0.1989,0.7768,0.9816
0.7145,0.7046,0.6441,0.2082,0.8122,0.9832
0.715,0.7055,0.6443,0.2187,0.7886,0.9835
0.7114,0.7024,0.6454,0.2153,0.782,0.9821
0.7137,0.7025,0.6444,0.2024,0.7874,0.9843
0.7113,0.7008,0.6485,0.209,0.8446,0.9843
0.7087,0.6943,0.6473,0.1882,0.8846,0.9845
0.7118,0.6985,0.6426,0.1757,0.8521,0.9862
0.7085,0.697,0.6447,0.1663,0.8389,0.9861
0.7095,0.6977,0.6441,0.1733,0.9535,0.9856
0.7093,0.6955,0.6473,0.1479,0.9433,0.9874
0.7086,0.6952,0.6467,0.1402,0.8804,0.9859
0.7067,0.6938,0.6432,0.1389,0.9275,0.9844
0.7058,0.6923,0.6435,0.1493,0.9165,0.9866
0.7073,0.6922,0.6396,0.144,0.9698,0.9869
0.7076,0.6897,0.6427,0.1372,0.9483,0.9856
0.7066,0.6901,0.6511,0.1419,0.9639,0.9835
0.7082,0.6925,0.6516,0.1371,0.9406,0.9856
0.7059,0.6899,0.6485,0.1172,0.9743,0.9867
0.7105,0.6908,0.6509,0.1274,0.9785,0.9876
0.7111,0.6956,0.6492,0.1103,0.9813,0.9867
0.7096,0.6932,0.6492,0.1178,0.9909,0.9876
0.7104,0.6912,0.6518,0.1068,0.9916,0.9873
0.7113,0.6935,0.6525,0.1103,0.9908,0.9859
