test_8acc,test_b8acc,test_4acc,test_b4acc,test_32acc,test_b32acc
0.1661,0.0,0.1666,0.0,0.1662,0.0
0.1907,0.0,0.191,0.0,0.1908,0.0
0.1643,0.0,0.1643,0.0,0.1649,0.0
0.1968,0.0,0.2054,0.0,0.1964,0.0
0.1963,0.0,0.1903,0.0,0.1958,0.0
0.2046,0.0,0.1985,0.0,0.2052,0.0
0.2179,0.0,0.2145,0.0,0.2176,0.0
0.2257,0.0,0.2048,0.0,0.2267,0.0
0.2397,0.0,0.1984,0.0,0.239,0.0
0.2483,0.0,0.235,0.0,0.2483,0.0
0.2397,0.0,0.2208,0.0143,0.2398,0.0
0.2447,0.0,0.2329,0.0184,0.2447,0.0
0.2481,0.011,0.2324,0.0223,0.2475,0.0118
0.2572,0.0213,0.2328,0.0117,0.2581,0.0205
0.2628,0.0143,0.245,0.0125,0.2636,0.0149
0.2675,0.0263,0.2426,0.0119,0.2691,0.0275
0.2721,0.0242,0.2524,0.0215,0.2728,0.0232
0.2731,0.0181,0.2478,0.0095,0.273,0.017
0.2759,0.0119,0.2655,0.0052,0.2745,0.0128
0.2771,0.0038,0.2635,0.004,0.2766,0.0032
0.278,0.003,0.2694,0.0049,0.277,0.0031
0.2798,0.0065,0.2619,0.0062,0.2793,0.0059
0.2831,0.0031,0.2674,0.0047,0.2835,0.003
0.2896,0.0,0.2684,0.0,0.2895,0.0
0.2939,0.0,0.2869,0.0003,0.2934,0.0
0.2975,0.001,0.2692,0.0003,0.2975,0.0008
0.3055,0.0162,0.2444,0.0041,0.306,0.017
0.3155,0.031,0.2588,0.0137,0.3153,0.0307
0.3174,0.0451,0.2664,0.0291,0.3169,0.0452
0.3214,0.0514,0.3038,0.062,0.3219,0.0516
0.3241,0.0558,0.2725,0.051,0.3246,0.0555
0.3229,0.0578,0.2837,0.0622,0.3246,0.0584
0.3294,0.0537,0.303,0.0678,0.3279,0.0544
0.3292,0.0532,0.3083,0.0656,0.3299,0.0547
0.333,0.0574,0.2772,0.0455,0.3326,0.0564
0.3354,0.057,0.2798,0.0539,0.3359,0.0548
0.3353,0.0622,0.2931,0.0547,0.3368,0.062
0.3414,0.0603,0.287,0.0543,0.3392,0.0601
0.3444,0.0647,0.2963,0.0587,0.3438,0.0654
0.3474,0.0664,0.3153,0.0503,0.3488,0.0664
0.3511,0.0633,0.3252,0.0483,0.3508,0.0631
0.3496,0.0672,0.3209,0.0541,0.3508,0.0674
0.3504,0.0662,0.3075,0.0586,0.352,0.067
0.3539,0.0677,0.3079,0.064,0.3544,0.0707
0.3526,0.0718,0.3192,0.0612,0.3523,0.0701
0.3573,0.069,0.3103,0.0603,0.3575,0.0689
0.3605,0.0705,0.3011,0.0532,0.3618,0.0686
0.3619,0.0703,0.3257,0.0552,0.3625,0.0707
0.3621,0.0722,0.3269,0.0428,0.362,0.0723
0.3646,0.0728,0.3325,0.0479,0.3649,0.0731
0.3766,0.0701,0.3413,0.0488,0.3733,0.0706
0.3743,0.0725,0.3459,0.0453,0.3782,0.07
0.3802,0.069,0.3502,0.0379,0.3804,0.0698
0.3833,0.0696,0.3549,0.0449,0.3833,0.0686
0.3855,0.0725,0.3257,0.036,0.3827,0.0715
0.3844,0.0706,0.3394,0.0457,0.3861,0.0735
0.3882,0.0739,0.3439,0.0322,0.3876,0.0725
0.3888,0.0719,0.3448,0.0354,0.3872,0.0721
0.3868,0.069,0.3422,0.0294,0.3858,0.0692
0.3863,0.0652,0.3448,0.0267,0.3883,0.0647
0.3869,0.0628,0.3466,0.0321,0.3882,0.0639
0.389,0.067,0.351,0.0406,0.3899,0.0618
0.3844,0.0542,0.3486,0.0329,0.3863,0.0539
0.3826,0.0582,0.3422,0.0397,0.384,0.0553
0.3912,0.0591,0.36,0.0443,0.3906,0.0589
0.3948,0.0585,0.3657,0.0479,0.3956,0.0588
0.3957,0.0609,0.3513,0.0508,0.395,0.0611
0.3928,0.0598,0.3457,0.0533,0.3937,0.0607
0.3908,0.061,0.347,0.0614,0.3921,0.0594
0.3942,0.0578,0.346,0.0536,0.3949,0.0589
0.3973,0.0582,0.3458,0.065,0.3972,0.0588
0.4004,0.0515,0.3522,0.0482,0.4008,0.0524
0.3968,0.0507,0.337,0.0462,0.3971,0.0496
0.4002,0.049,0.3452,0.0533,0.4011,0.0488
