test_4acc,test_b4acc,test_8acc,test_b8acc,test_32acc,test_b32acc
0.2057,0.0475,0.1919,0.0443,0.1917,0.0443
0.3063,0.068,0.304,0.0706,0.3038,0.0708
0.347,0.067,0.3502,0.064,0.3496,0.064
0.3706,0.0604,0.3792,0.0578,0.3786,0.0582
0.4033,0.0667,0.4075,0.0642,0.4068,0.0646
0.4277,0.071,0.4327,0.0674,0.4326,0.067
0.4497,0.078,0.4574,0.078,0.4575,0.0779
0.4736,0.0836,0.4771,0.0871,0.4773,0.0868
0.4949,0.083,0.5005,0.0893,0.4999,0.0894
0.5059,0.0858,0.5163,0.0878,0.5164,0.0883
0.518,0.0811,0.525,0.0872,0.5245,0.0874
0.5308,0.0858,0.5368,0.0873,0.5362,0.0874
0.5376,0.085,0.5466,0.0852,0.5462,0.0857
0.549,0.0862,0.5539,0.0848,0.5546,0.0848
0.5582,0.0815,0.5614,0.0835,0.561,0.0837
0.5616,0.0828,0.5685,0.0835,0.5684,0.0838
0.5657,0.0863,0.5761,0.0827,0.5765,0.083
0.5716,0.0821,0.5824,0.0825,0.5834,0.0822
0.5737,0.0842,0.5898,0.0833,0.589,0.0834
0.5771,0.0841,0.5929,0.0846,0.5914,0.0844
0.5857,0.0857,0.5964,0.0822,0.596,0.0819
0.5912,0.0897,0.5995,0.0829,0.5991,0.083
0.5917,0.0862,0.605,0.0823,0.606,0.0819
0.602,0.0868,0.6074,0.0834,0.6084,0.0835
0.6019,0.0828,0.6116,0.0835,0.6117,0.0828
0.6068,0.0866,0.6187,0.0848,0.6191,0.0848
0.6121,0.0856,0.6215,0.0864,0.622,0.0859
0.6204,0.0849,0.6255,0.0846,0.6266,0.0842
0.624,0.0865,0.6294,0.0847,0.6304,0.0844
0.6246,0.0862,0.6353,0.0854,0.6347,0.0849
0.6284,0.0913,0.6397,0.0854,0.6393,0.0853
0.6309,0.0919,0.6437,0.0878,0.6431,0.0876
0.6308,0.087,0.6454,0.0876,0.6447,0.0879
0.6337,0.0851,0.6486,0.0869,0.6475,0.0868
0.6325,0.0888,0.6502,0.0886,0.6511,0.0887
0.6363,0.0861,0.6551,0.0888,0.655,0.0892
0.6415,0.0859,0.658,0.0893,0.6578,0.089
0.6454,0.0833,0.6604,0.0884,0.6615,0.0888
0.6455,0.0855,0.6621,0.0896,0.6616,0.0899
0.646,0.0825,0.6642,0.0884,0.6647,0.0887
0.6449,0.0811,0.6683,0.0858,0.6685,0.0864
0.6469,0.0824,0.6671,0.0886,0.667,0.0886
0.6524,0.0832,0.6682,0.089,0.6693,0.0888
