0.2898,0.2903,0.2902,0.0923,0.0918,0.0824
0.3388,0.3387,0.3397,0.0827,0.0828,0.0792
0.3683,0.3686,0.3644,0.0756,0.0759,0.0743
0.3889,0.3884,0.3866,0.0765,0.076,0.074
0.408,0.4096,0.4058,0.0733,0.0738,0.0713
0.4287,0.429,0.4241,0.0739,0.0736,0.0744
0.44,0.4405,0.4414,0.0723,0.0724,0.0742
0.4583,0.458,0.4565,0.0744,0.0744,0.0777
0.4736,0.4739,0.4689,0.0755,0.0753,0.0797
0.4878,0.4885,0.484,0.0758,0.0765,0.0789
0.5011,0.5008,0.496,0.0779,0.0775,0.0789
0.5123,0.5113,0.5093,0.0781,0.0781,0.0788
0.519,0.5187,0.5172,0.0774,0.0772,0.0797
0.5292,0.53,0.5273,0.0781,0.0784,0.0794
